station_code,station_name,latitude,longitude,state,zone,is_junction,track_degree,opened_year,established_date,historical_details,daily_footfall,platform_count,peak_crowd_level,bias_correction_flag
CNB,KANPUR CENTRAL,26.454240,80.350966,All India,IR,1,580,1928,1928-01-01,"Kanpur Central, grand architectural terminal replacing the 1859 East Indian Railway Cawnpore station.",290000,10,CRITICAL_HIGH,JUNCTION_HUB
ET,ITARSI JN,22.608258,77.767128,All India,IR,1,576,1983,1983-10-14,Established 1983 under IR Railway network expansion.,51579,4,HIGH,JUNCTION_HUB
GZB,GHAZIABAD,28.649702,77.431099,All India,IR,1,570,1997,1997-12-04,Established 1997 under IR Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
SBB,SAHIBABAD,28.674037,77.364182,All India,IR,1,570,1985,1985-12-20,Established 1985 under IR Railway network expansion.,16945,4,MODERATE,JUNCTION_HUB
KOPR,KOPAR ROAD,19.211345,73.077841,MAHARASHTRA,CR,1,524,1901,1901-05-09,Established 1901 under CR Railway network expansion.,4676,1,NORMAL,JUNCTION_HUB
BZA,VIJAYAWADA JN,16.518262,80.618648,All India,IR,1,496,1888,1888-05-01,"Vijayawada Junction on the East Coast State Railway, one of the busiest transit hubs in Asia.",190000,10,CRITICAL_HIGH,JUNCTION_HUB
BRC,VADODARA JN,22.310756,73.181065,All India,IR,1,492,1985,1985-12-20,Established 1985 under IR Railway network expansion.,16945,4,MODERATE,JUNCTION_HUB
MGS,MUGHAL SARAI JN,25.278149,83.119250,All India,IR,1,488,2001,2001-04-08,Established 2001 under IR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
DI,DOMBIVILI,19.218218,73.086900,MAHARASHTRA,CR,1,482,1891,1891-10-02,Established 1891 under CR Railway network expansion.,2751,2,NORMAL,JUNCTION_HUB
KYN,KALYAN JN,19.234716,73.129740,MAHARASHTRA,CR,1,482,1882,1882-03-19,Established 1882 under CR Railway network expansion.,3862,1,NORMAL,JUNCTION_HUB
THK,THAKRULI,19.225768,73.097678,MAHARASHTRA,CR,1,482,1871,1871-04-08,Established 1871 under CR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
KAN,KHANA JN,23.320577,87.769547,All India,IR,1,464,1988,1988-03-23,Established 1988 under IR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
TIT,TALIT,23.293310,87.819122,All India,IR,1,464,1951,1951-02-18,Established 1951 under IR Railway network expansion.,3851,2,NORMAL,JUNCTION_HUB
UDN,UDHNA JN,21.171156,72.851461,All India,IR,1,462,2001,2001-04-08,Established 2001 under IR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
DIVA,DIVA,19.188394,73.041905,MAHARASHTRA,CR,1,456,1877,1877-05-13,Established 1877 under CR Railway network expansion.,4412,1,NORMAL,JUNCTION_HUB
ALD,ALLAHABAD JN,25.446241,81.828816,All India,IR,1,446,1979,1979-06-14,Established 1979 under IR Railway network expansion.,3499,2,NORMAL,JUNCTION_HUB
BWN,BARDDHAMAN JN,23.249718,87.870281,All India,IR,1,441,2001,2001-04-08,Established 2001 under IR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
JL,JALGAON JN,21.018115,75.562875,MAHARASHTRA,CR,1,440,1900,1900-07-11,Established 1900 under CR Railway network expansion.,15450,2,MODERATE,JUNCTION_HUB
ST,SURAT,21.206568,72.840793,All India,IR,1,440,1997,1997-12-28,Established 1997 under IR Railway network expansion.,3037,2,NORMAL,JUNCTION_HUB
BSL,BHUSAVAL JN,21.047281,75.788672,MAHARASHTRA,CR,1,438,1865,1865-10-02,Established 1865 under CR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
BPL,BHOPAL JN,23.266884,77.413143,All India,IR,1,437,1992,1992-07-27,Established 1992 under IR Railway network expansion.,3642,1,NORMAL,JUNCTION_HUB
